"","movieTitles","moviesYears","moviesClassification"
"1","Um Sonho de Liberdade
19942h 22m16
9.3 (2.9M)Rate","1994","16"
"2","O Poderoso Chefão
19722h 55m14
9.2 (2M)Rate","1972","14"
"3","Batman - O Cavaleiro das Trevas
20082h 32m12
9.0 (2.8M)Rate","2008","12"
"4","O Poderoso Chefão II
19743h 22m14
9.0 (1.4M)Rate","1974","14"
"5","12 Homens e uma Sentença
19571h 36mLivre
9.0 (855K)Rate","1957","Livre"
"6","A Lista de Schindler
19933h 15m14
9.0 (1.4M)Rate","1993","14"
"7","O Senhor dos Anéis: O Retorno do Rei
20033h 21m14
9.0 (2M)Rate","2003","14"
"8","Pulp Fiction - Tempo de Violência
19942h 34m18
8.9 (2.2M)Rate","1994","18"
"9","O Senhor dos Anéis: A Sociedade do Anel
20012h 58m12
8.9 (2M)Rate","2001","12"
"10","Três Homens em Conflito
19662h 41m14
8.8 (804K)Rate","1966","14"
"11","Forrest Gump: O Contador de Histórias
19942h 22m14
8.8 (2.2M)Rate","1994","14"
"12","O Senhor dos Anéis: As Duas Torres
20022h 59m12
8.8 (1.8M)Rate","2002","12"
"13","Clube da Luta
19992h 19m18
8.8 (2.3M)Rate","1999","18"
"14","A Origem
20102h 28m14
8.8 (2.5M)Rate","2010","14"
"15","Star Wars: Episódio V - O Império Contra-Ataca
19802h 4mLivre
8.7 (1.4M)Rate","1980","Livre"
"16","Matrix
19992h 16m14
8.7 (2M)Rate","1999","14"
"17","Os Bons Companheiros
19902h 25m14
8.7 (1.2M)Rate","1990","14"
"18","Um Estranho no Ninho
19752h 13m16
8.7 (1.1M)Rate","1975","16"
"19","Seven: Os Sete Crimes Capitais
19952h 7m14
8.6 (1.8M)Rate","1995","14"
"20","A Felicidade Não se Compra
19462h 10mLivre
8.6 (496K)Rate","1946","Livre"
"21","Interestelar
20142h 49m10
8.7 (2.1M)Rate","2014","10"
"22","Os Sete Samurais
19543h 27m10
8.6 (364K)Rate","1954","10"
"23","O Silêncio dos Inocentes
19911h 58m14
8.6 (1.5M)Rate","1991","14"
"24","O Resgate do Soldado Ryan
19982h 49m14
8.6 (1.5M)Rate","1998","14"
"25","Cidade de Deus
20022h 10m18
8.6 (795K)Rate","2002","18"
"26","A Vida é Bela
19971h 56mLivre
8.6 (737K)Rate","1997","Livre"
"27","À Espera de um Milagre
19993h 9m18
8.6 (1.4M)Rate","1999","18"
"28","O Exterminador do Futuro 2: O Julgamento Final
19912h 17m14
8.6 (1.2M)Rate","1991","14"
"29","Star Wars: Episódio IV - Uma Nova Esperança
19772h 1mLivre
8.6 (1.4M)Rate","1977","Livre"
"30","De Volta para o Futuro
19851h 56mLivre
8.5 (1.3M)Rate","1985","Livre"
"31","A Viagem de Chihiro
20012h 5mLivre
8.6 (838K)Rate","2001","Livre"
"32","Homem-Aranha: Através do Aranhaverso
20232h 20m10
8.6 (348K)Rate","2023","10"
"33","O Pianista
20022h 30m14
8.5 (902K)Rate","2002","14"
"34","Parasita
20192h 12m16
8.5 (938K)Rate","2019","16"
"35","Psicose
19601h 49m14
8.5 (713K)Rate","1960","14"
"36","Gladiador
20002h 35m14
8.5 (1.6M)Rate","2000","14"
"37","O Rei Leão
19941h 28mLivre
8.5 (1.1M)Rate","1994","Livre"
"38","O Profissional
19941h 50m14
8.5 (1.2M)Rate","1994","14"
"39","Os Infiltrados
20062h 31m18
8.5 (1.4M)Rate","2006","18"
"40","A Outra História Americana
19981h 59m14
8.5 (1.2M)Rate","1998","14"
"41","Whiplash: Em Busca da Perfeição
20141h 46m12
8.5 (973K)Rate","2014","12"
"42","O Grande Truque
20062h 10m14
8.5 (1.4M)Rate","2006","14"
"43","Túmulo dos Vagalumes
19881h 29m12
8.5 (306K)Rate","1988","12"
"44","Harakiri
19622h 13m16
8.6 (67K)Rate","1962","16"
"45","Os Suspeitos
19951h 46m14
8.5 (1.1M)Rate","1995","14"
"46","Casablanca
19421h 42mLivre
8.5 (602K)Rate","1942","Livre"
"47","Intocáveis
20111h 52m14
8.5 (920K)Rate","2011","14"
"48","Tempos Modernos
19361h 27mLivre
8.5 (257K)Rate","1936","Livre"
"49","Cinema Paradiso
19882h 54m10
8.5 (280K)Rate","1988","10"
"50","Janela Indiscreta
19541h 52m12
8.5 (518K)Rate","1954","12"
"51","Era uma Vez no Oeste
19682h 46m14
8.5 (347K)Rate","1968","14"
"52","12th Fail
20232h 27m
9.1 (99K)Rate","2023",NA
"53","Alien - O 8º Passageiro
19791h 57m14
8.5 (941K)Rate","1979","14"
"54","Luzes da Cidade
19311h 27mLivre
8.5 (195K)Rate","1931","Livre"
"55","Apocalypse Now
19792h 27m16
8.4 (704K)Rate","1979","16"
"56","Django Livre
20122h 45m16
8.5 (1.7M)Rate","2012","16"
"57","Amnésia
20001h 53m16
8.4 (1.3M)Rate","2000","16"
"58","WALL·E
20081h 38mLivre
8.4 (1.2M)Rate","2008","Livre"
"59","Os Caçadores da Arca Perdida
19811h 55mLivre
8.4 (1M)Rate","1981","Livre"
"60","A Vida dos Outros
20062h 17m12
8.4 (408K)Rate","2006","12"
"61","Crepúsculo dos Deuses
19501h 50mLivre
8.4 (235K)Rate","1950","Livre"
"62","Glória Feita de Sangue
19571h 28m14
8.4 (211K)Rate","1957","14"
"63","Vingadores: Guerra Infinita
20182h 29m12
8.4 (1.2M)Rate","2018","12"
"64","Homem-Aranha: No Aranhaverso
20181h 57m10
8.4 (660K)Rate","2018","10"
"65","O Iluminado
19802h 26m16
8.4 (1.1M)Rate","1980","16"
"66","Testemunha de Acusação
19571h 56m12
8.4 (136K)Rate","1957","12"
"67","O Grande Ditador
19402h 5mLivre
8.4 (236K)Rate","1940","Livre"
"68","Aliens, O Resgate
19862h 17m14
8.4 (757K)Rate","1986","14"
"69","Bastardos Inglórios
20092h 33m18
8.4 (1.6M)Rate","2009","18"
"70","Batman - O Cavaleiro das Trevas Ressurge
20122h 44m12
8.4 (1.8M)Rate","2012","12"
"71","Dr. Fantástico
19641h 35m10
8.4 (515K)Rate","1964","10"
"72","Beleza Americana
19992h 2m14
8.3 (1.2M)Rate","1999","14"
"73","Oldboy
20032h16
8.3 (629K)Rate","2003","16"
"74","Viva - A Vida é uma Festa
20171h 45mLivre
8.4 (581K)Rate","2017","Livre"
"75","Amadeus
19842h 40mLivre
8.4 (424K)Rate","1984","Livre"
"76","Toy Story
19951h 21mLivre
8.3 (1.1M)Rate","1995","Livre"
"77","O Barco: Inferno no Mar
19812h 29m14
8.4 (263K)Rate","1981","14"
"78","Coração Valente
19952h 58m16
8.3 (1.1M)Rate","1995","16"
"79","Vingadores: Ultimato
20193h 1m12
8.4 (1.2M)Rate","2019","12"
"80","Coringa
20192h 2m16
8.4 (1.5M)Rate","2019","16"
"81","Princesa Mononoke
19972h 14m12
8.3 (429K)Rate","1997","12"
"82","Gênio Indomável
19972h 6m14
8.3 (1.1M)Rate","1997","14"
"83","Oppenheimer
20233h16
8.4 (645K)Rate","2023","16"
"84","Your Name.
20161h 46mLivre
8.4 (314K)Rate","2016","Livre"
"85","Era uma Vez na América
19843h 49m18
8.3 (375K)Rate","1984","18"
"86","Céu e Inferno
19632h 23mNot Rated
8.4 (52K)Rate","1963","Not Rated"
"87","3 Idiotas
20092h 50m12
8.4 (430K)Rate","2009","12"
"88","Cantando na Chuva
19521h 43mLivre
8.3 (259K)Rate","1952","Livre"
"89","Cafarnaum
20182h 6m16
8.4 (103K)Rate","2018","16"
"90","Réquiem para um Sonho
20001h 42m18
8.3 (892K)Rate","2000","18"
"91","Vá e Veja
19852h 22m18
8.4 (95K)Rate","1985","18"
"92","Toy Story 3
20101h 43mLivre
8.3 (886K)Rate","2010","Livre"
"93","Star Wars, Episódio VI: O Retorno do Jedi
19832h 11mLivre
8.3 (1.1M)Rate","1983","Livre"
"94","Brilho Eterno de uma Mente sem Lembranças
20041h 48m14
8.3 (1.1M)Rate","2004","14"
"95","A Caça
20121h 55m14
8.3 (360K)Rate","2012","14"
"96","Pobres Criaturas
20232h 21m18
8.4 (98K)Rate","2023","18"
"97","2001: Uma Odisséia no Espaço
19682h 29mLivre
8.3 (713K)Rate","1968","Livre"
"98","Cães de Aluguel
19921h 39m18
8.3 (1.1M)Rate","1992","18"
"99","Viver
19522h 23mNot Rated
8.3 (86K)Rate","1952","Not Rated"
"100","Lawrence da Arábia
19623h 38m14
8.3 (312K)Rate","1962","14"
"101","Se Meu Apartamento Falasse
19602h 5mLivre
8.3 (195K)Rate","1960","Livre"
"102","Cidadão Kane
19411h 59mLivre
8.3 (463K)Rate","1941","Livre"
"103","Intriga Internacional
19592h 16m14
8.3 (344K)Rate","1959","14"
"104","M, o Vampiro de Dusseldorf
19311h 57m12
8.3 (167K)Rate","1931","12"
"105","Um Corpo que Cai
19582h 8m14
8.3 (424K)Rate","1958","14"
"106","Pacto de Sangue
19441h 47m14
8.3 (166K)Rate","1944","14"
"107","Scarface
19832h 50m18
8.3 (907K)Rate","1983","18"
"108","Incêndios
20102h 11m14
8.3 (196K)Rate","2010","14"
"109","O Fabuloso Destino de Amélie Poulain
20012h 2m14
8.3 (790K)Rate","2001","14"
"110","Nascido para Matar
19871h 56m16
8.3 (784K)Rate","1987","16"
"111","Laranja Mecânica
19712h 16m(Banned)
8.3 (875K)Rate","1971","(Banned)"
"112","Fogo Contra Fogo
19952h 50m14
8.3 (712K)Rate","1995","14"
"113","Up - Altas Aventuras
20091h 36mLivre
8.3 (1.1M)Rate","2009","Livre"
"114","O Sol é para Todos
19622h 9m12
8.3 (331K)Rate","1962","12"
"115","Golpe de Mestre
19732h 9m18
8.3 (278K)Rate","1973","18"
"116","A Separação
20112h 3m12
8.3 (257K)Rate","2011","12"
"117","Indiana Jones e a Última Cruzada
19892h 7mLivre
8.2 (806K)Rate","1989","Livre"
"118","Duro de Matar
19882h 12m14
8.2 (939K)Rate","1988","14"
"119","Hamilton
20202h 40m12
8.3 (111K)Rate","2020","12"
"120","Metrópolis
19272h 33mLivre
8.3 (184K)Rate","1927","Livre"
"121","Como Estrelas na Terra
20072h 42mLivre
8.3 (205K)Rate","2007","Livre"
"122","Snatch - Porcos e Diamantes
20001h 44m16
8.2 (903K)Rate","2000","16"
"123","Los Angeles: Cidade Proibida
19972h 18m18
8.2 (613K)Rate","1997","18"
"124","Ladrões de Bicicletas
19481h 29m10
8.3 (174K)Rate","1948","10"
"125","1917
20191h 59m14
8.2 (665K)Rate","2019","14"
"126","Taxi Driver: Motorista de Táxi
19761h 54m14
8.2 (911K)Rate","1976","14"
"127","A Queda! As Últimas Horas de Hitler
20042h 36m16
8.2 (373K)Rate","2004","16"
"128","Dangal
20162h 41m10
8.3 (208K)Rate","2016","10"
"129","Por uns Dólares a Mais
19652h 12m12
8.2 (272K)Rate","1965","12"
"130","Batman Begins
20052h 20m10
8.2 (1.6M)Rate","2005","10"
"131","Quanto Mais Quente Melhor
19592h 1mLivre
8.2 (282K)Rate","1959","Livre"
"132","O Lobo de Wall Street
20133h18
8.2 (1.6M)Rate","2013","18"
"133","O Garoto
19211h 8mLivre
8.2 (134K)Rate","1921","Livre"
"134","Green Book: O Guia
20182h 10m12
8.2 (558K)Rate","2018","12"
"135","Meu Pai
20201h 37m12
8.2 (189K)Rate","2020","12"
"136","Top Gun: Maverick
20222h 10m12
8.3 (677K)Rate","2022","12"
"137","Julgamento em Nuremberg
19612h 59mApproved
8.3 (84K)Rate","1961","Approved"
"138","A Malvada
19502h 18mLivre
8.2 (138K)Rate","1950","Livre"
"139","O Show de Truman: O Show da Vida
19981h 43m12
8.2 (1.2M)Rate","1998","12"
"140","Sangue Negro
20072h 38m14
8.2 (636K)Rate","2007","14"
"141","Ilha do Medo
20102h 18m16
8.2 (1.4M)Rate","2010","16"
"142","Cassino
19952h 58m18
8.2 (559K)Rate","1995","18"
"143","Ran
19852h 40m16
8.2 (135K)Rate","1985","16"
"144","Jurassic Park - O Parque dos Dinossauros
19932h 7mLivre
8.2 (1.1M)Rate","1993","Livre"
"145","O Sexto Sentido
19991h 47m12
8.2 (1M)Rate","1999","12"
"146","O Labirinto do Fauno
20061h 58m16
8.2 (699K)Rate","2006","16"
"147","Os Imperdoáveis
19922h 10m12
8.2 (433K)Rate","1992","12"
"148","Uma Mente Brilhante
20012h 15m12
8.2 (980K)Rate","2001","12"
"149","Onde os Fracos Não Têm Vez
20072h 2m16
8.2 (1M)Rate","2007","16"
"150","O Tesouro da Sierra Madre
19482h 6mLivre
8.2 (132K)Rate","1948","Livre"
"151","O Enigma de Outro Mundo
19821h 49m14
8.2 (462K)Rate","1982","14"
"152","Yojimbo, o Guarda-Costas
19611h 50mLivre
8.2 (130K)Rate","1961","Livre"
"153","Kill Bill: Volume 1
20031h 51m18
8.2 (1.2M)Rate","2003","18"
"154","Monty Python em Busca do Cálice Sagrado
19751h 31mLivre
8.2 (567K)Rate","1975","Livre"
"155","Fugindo do Inferno
19632h 52m12
8.2 (257K)Rate","1963","12"
"156","Procurando Nemo
20031h 40mLivre
8.2 (1.1M)Rate","2003","Livre"
"157","Rashomon
19501h 28m14
8.2 (179K)Rate","1950","14"
"158","O Homem Elefante
19802h 4m10
8.2 (257K)Rate","1980","10"
"159","O Castelo Animado
20041h 59mLivre
8.2 (442K)Rate","2004","Livre"
"160","Os Suspeitos
20132h 33m16
8.1 (798K)Rate","2013","16"
"161","Chinatown
19742h 10m12
8.1 (347K)Rate","1974","12"
"162","Disque M para Matar
19541h 45m16
8.2 (187K)Rate","1954","16"
"163","...E o Vento Levou
19393h 58mLivre
8.2 (332K)Rate","1939","Livre"
"164","V de Vingança
20052h 12m16
8.2 (1.2M)Rate","2005","16"
"165","Jogos, Trapaças e Dois Canos Fumegantes
19981h 47m18
8.1 (612K)Rate","1998","18"
"166","O Segredo dos Seus Olhos
20092h 9m16
8.2 (221K)Rate","2009","16"
"167","Touro Indomável
19802h 9m16
8.1 (377K)Rate","1980","16"
"168","Divertida Mente
20151h 35mLivre
8.1 (776K)Rate","2015","Livre"
"169","Três Anúncios para um Crime
20171h 55m16
8.1 (550K)Rate","2017","16"
"170","Trainspotting: Sem Limites
19961h 33m18
8.1 (721K)Rate","1996","18"
"171","A Ponte do Rio Kwai
19572h 41m12
8.1 (232K)Rate","1957","12"
"172","Homem-Aranha: Sem Volta para Casa
20212h 28m12
8.2 (865K)Rate","2021","12"
"173","Fargo - Uma Comédia de Erros
19961h 38m18
8.1 (720K)Rate","1996","18"
"174","Guerreiro
20112h 20m12
8.1 (495K)Rate","2011","12"
"175","Klaus
20191h 36m10
8.2 (187K)Rate","2019","10"
"176","Godzilla Minus One
20232h 4m12
8.3 (44K)Rate","2023","12"
"177","Prenda-me se for Capaz
20022h 21m12
8.1 (1.1M)Rate","2002","12"
"178","Gran Torino
20081h 56m14
8.1 (810K)Rate","2008","14"
"179","Meu Amigo Totoro
19881h 26mLivre
8.1 (375K)Rate","1988","Livre"
"180","Menina de Ouro
20042h 12m12
8.1 (717K)Rate","2004","12"
"181","Harry Potter e as Relíquias da Morte - Parte 2
20112h 10m12
8.1 (940K)Rate","2011","12"
"182","Filhos do Paraíso
19971h 29mLivre
8.2 (80K)Rate","1997","Livre"
"183","12 Anos de Escravidão
20132h 14m14
8.1 (737K)Rate","2013","14"
"184","Blade Runner: O Caçador de Androides
19821h 57m14
8.1 (816K)Rate","1982","14"
"185","Antes do Amanhecer
19951h 41m12
8.1 (336K)Rate","1995","12"
"186","O Grande Hotel Budapeste
20141h 39m14
8.1 (879K)Rate","2014","14"
"187","Ben-Hur
19593h 32m12
8.1 (252K)Rate","1959","12"
"188","Barry Lyndon
19753h 5mLivre
8.1 (181K)Rate","1975","Livre"
"189","Garota Exemplar
20142h 29m14
8.1 (1.1M)Rate","2014","14"
"190","Em Busca do Ouro
19251h 35mLivre
8.1 (118K)Rate","1925","Livre"
"191","Até o Último Homem
20162h 19m16
8.1 (586K)Rate","2016","16"
"192","Em Nome do Pai
19932h 13m16
8.1 (186K)Rate","1993","16"
"193","Memórias de um Assassino
20032h 11m14
8.1 (212K)Rate","2003","14"
"194","Sindicato de Ladrões
19541h 48m14
8.1 (164K)Rate","1954","14"
"195","Sociedade dos Poetas Mortos
19892h 8m12
8.1 (539K)Rate","1989","12"
"196","A General
19261h 18mLivre
8.1 (97K)Rate","1926","Livre"
"197","O Franco Atirador
19783h 3m18
8.1 (360K)Rate","1978","18"
"198","Relatos Selvagens
20142h 2m14
8.1 (214K)Rate","2014","14"
"199","Mad Max: Estrada da Fúria
20152h16
8.1 (1.1M)Rate","2015","16"
"200","Monstros S.A.
20011h 32mLivre
8.1 (970K)Rate","2001","Livre"
"201","Bancando o Águia
192445mPassed
8.2 (56K)Rate","1924","Passed"
"202","Morangos Silvestres
19571h 31m10
8.1 (114K)Rate","1957","10"
"203","O 3º Homem
19491h 44m14
8.1 (181K)Rate","1949","14"
"204","O Salário do Medo
19532h 11m16
8.2 (66K)Rate","1953","16"
"205","Tubarão
19752h 4m14
8.1 (654K)Rate","1975","14"
"206","Como Treinar o Seu Dragão
20101h 38mLivre
8.1 (793K)Rate","2010","Livre"
"207","Mary e Max - Uma Amizade Diferente
20091h 32m12
8.1 (186K)Rate","2009","12"
"208","A Mulher Faz o Homem
19392h 9mLivre
8.1 (121K)Rate","1939","Livre"
"209","Ford vs Ferrari
20192h 32m12
8.1 (458K)Rate","2019","12"
"210","Ratatouille
20071h 51mLivre
8.1 (814K)Rate","2007","Livre"
"211","O Sétimo Selo
19571h 36m12
8.1 (197K)Rate","1957","12"
"212","O Quarto de Jack
20151h 58m14
8.1 (447K)Rate","2015","14"
"213","O Grande Lebowski
19981h 57m14
8.1 (854K)Rate","1998","14"
"214","Era uma Vez em Tóquio
19532h 16m10
8.1 (68K)Rate","1953","10"
"215","Rocky - Um Lutador
19762h12
8.1 (623K)Rate","1976","12"
"216","Logan
20172h 17m16
8.1 (822K)Rate","2017","16"
"217","Spotlight - Segredos Revelados
20152h 9m12
8.1 (499K)Rate","2015","12"
"218","Hotel Ruanda
20042h 1m14
8.1 (370K)Rate","2004","14"
"219","Platoon
19862h14
8.1 (436K)Rate","1986","14"
"220","O Exterminador do Futuro
19841h 47m14
8.1 (917K)Rate","1984","14"
"221","O Martírio de Joana D'Arc
19281h 50m14
8.1 (60K)Rate","1928","14"
"222","Antes do Pôr do Sol
20041h 20m12
8.1 (285K)Rate","2004","12"
"223","Jai Bhim
20212h 44mTV-MA
8.7 (216K)Rate","2021","TV-MA"
"224","Os Melhores Anos de Nossa Vida
19462h 50mLivre
8.1 (70K)Rate","1946","Livre"
"225","O Ódio
19951h 38m16
8.1 (194K)Rate","1995","16"
"226","O Exorcista
19732h 2m14
8.1 (451K)Rate","1973","14"
"227","Rush: No Limite da Emoção
20132h 3m14
8.1 (509K)Rate","2013","14"
"228","Rede de Intrigas
19762h 1m14
8.1 (169K)Rate","1976","14"
"229","Piratas do Caribe: A Maldição do Pérola Negra
20032h 23m14
8.1 (1.2M)Rate","2003","14"
"230","Conta Comigo
19861h 29m12
8.1 (437K)Rate","1986","12"
"231","O Mágico de Oz
19391h 42mLivre
8.1 (425K)Rate","1939","Livre"
"232","Os Incríveis
20041h 55mLivre
8.0 (800K)Rate","2004","Livre"
"233","Na Natureza Selvagem
20072h 28m12
8.1 (654K)Rate","2007","12"
"234","Sempre ao Seu Lado
20091h 33mLivre
8.1 (308K)Rate","2009","Livre"
"235","A Criada
20162h 25m18
8.1 (170K)Rate","2016","18"
"236","Meu Pai e Meu Filho
20051h 52mNot Rated
8.2 (92K)Rate","2005","Not Rated"
"237","Ser ou Não Ser
19421h 39mLivre
8.1 (42K)Rate","1942","Livre"
"238","As Vinhas da Ira
19402h 9m12
8.1 (99K)Rate","1940","12"
"239","A Noviça Rebelde
19652h 52mLivre
8.1 (258K)Rate","1965","Livre"
"240","A Batalha de Argel
19662h 1m14
8.1 (65K)Rate","1966","14"
"241","Feitiço do Tempo
19931h 41m12
8.0 (679K)Rate","1993","12"
"242","Amores Brutos
20002h 34m16
8.1 (252K)Rate","2000","16"
"243","Rebecca, a Mulher Inesquecível
19402h 10m12
8.1 (146K)Rate","1940","12"
"244","Rebeldia Indomável
19672h 7m14
8.1 (187K)Rate","1967","14"
"245","O Gigante de Ferro
19991h 26mLivre
8.1 (224K)Rate","1999","Livre"
"246","Histórias Cruzadas
20112h 26m12
8.1 (489K)Rate","2011","12"
"247","Aconteceu Naquela Noite
19341h 45mLivre
8.1 (111K)Rate","1934","Livre"
"248","Os Incompreendidos
19591h 39m12
8.1 (127K)Rate","1959","12"
"249","Aladdin
19921h 30mLivre
8.0 (462K)Rate","1992","Livre"
"250","Dança com Lobos
19903h 1m14
8.0 (288K)Rate","1990","14"
